Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:13       1   38.24    0.00   11.76    0.00    0.00    9.80    4.90    0.00    0.00   35.29
17:04:13       2   55.67    0.00    8.25    0.00    0.00    2.06    4.12    0.00    0.00   29.90
17:04:13       3   34.69    0.00   15.31    0.00    0.00    8.16    5.10    0.00    0.00   36.73
17:04:13       4   48.98    0.00   14.29    5.10    0.00    4.08    5.10    0.00    0.00   22.45
17:04:13       5   31.25    0.00   14.58   10.42    0.00   10.42    4.17    0.00    0.00   29.17
17:04:13       6   33.33    0.00   18.63    0.98    0.00   15.69    4.90    0.00    0.00   26.47
17:04:13       7   38.38    0.00    9.09    4.04    0.00    8.08    4.04    0.00    0.00   36.36
17:04:13       8   51.49    0.00   15.84    0.00    0.00    2.97    3.96    0.00    0.00   25.74
17:04:13       9   40.21    0.00   18.56    1.03    0.00    2.06    4.12    0.00    0.00   34.02
17:04:13      10   38.24    0.00   22.55    0.00    0.00    0.98    5.88    0.00    0.00   32.35
17:04:13      11   50.52    0.00   18.56    0.00    0.00    2.06    4.12    0.00    0.00   24.74
17:04:13      12   42.00    0.00   19.00    4.00    0.00    2.00    5.00    0.00    0.00   28.00
17:04:13      13   35.71    0.00   23.47    0.00    0.00    4.08    5.10    0.00    0.00   31.63
17:04:13      14   41.41    0.00   16.16    0.00    0.00    3.03    4.04    0.00    0.00   35.35
17:04:13      15   55.67    0.00   12.37    0.00    0.00    2.06    3.09    0.00    0.00   26.80

17:04:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:14     all   45.60    0.00   14.82    1.63    0.00    4.52    4.90    0.00    0.00   28.52
17:04:14       0   41.75    0.00   15.53    0.00    0.00    3.88    5.83    0.00    0.00   33.01
17:04:14       1   49.49    0.00   11.11    5.05    0.00    8.08    4.04    0.00    0.00   22.22
17:04:14       2   49.50    0.00   11.88    0.00    0.00    4.95    3.96    0.00    0.00   29.70
17:04:14       3   35.92    0.00   25.24    0.00    0.00    4.85    6.80    0.00    0.00   27.18
